Amplitude (LSB) - Signal,Time (us)
-0060,0.539062
00195,0.540039
00020,0.541016
00004,0.541992
00000,0.542969
00036,0.543945
00052,0.544922
-0004,0.545898
00060,0.546875
00012,0.547852
00036,0.548828
-0044,0.549805
00000,0.550781
00004,0.551758
-0076,0.552734
-0068,0.553711
00032,0.554688
-0171,0.555664
00024,0.556641
-0020,0.557617
00008,0.558594
-0012,0.559570
00187,0.560547
-0004,0.561523
-0104,0.562500
-0004,0.563477
-0024,0.564453
00024,0.565430
-0028,0.566406
-0016,0.567383
-0235,0.568359
-0036,0.569336
00088,0.570312
00124,0.571289
-0004,0.572266
00004,0.573242
-0036,0.574219
00004,0.575195
00203,0.576172
00004,0.577148
-0076,0.578125
-0108,0.579102
00024,0.580078
00044,0.581055
-0036,0.582031
-0036,0.583008
00195,0.583984
-0036,0.584961
00032,0.585938
-0004,0.586914
00036,0.587891
00016,0.588867
-0028,0.589844
-0028,0.590820
00207,0.591797
00024,0.592773
-0060,0.593750
00112,0.594727
-0012,0.595703
-0036,0.596680
00052,0.597656
00012,0.598633
00084,0.599609
-0004,0.600586
-0080,0.601562
-0020,0.602539
-0004,0.603516
-0044,0.604492
-0028,0.605469
00016,0.606445
-0379,0.607422
00004,0.608398
00064,0.609375
00068,0.610352
-0012,0.611328
00048,0.612305
00008,0.613281
00028,0.614258
00044,0.615234
-0012,0.616211
-0132,0.617188
00164,0.618164
-0020,0.619141
00024,0.620117
00036,0.621094
-0012,0.622070
00052,0.623047
00004,0.624023
00032,0.625000
00068,0.625977
-0024,0.626953
-0016,0.627930
00020,0.628906
-0012,0.629883
00052,0.630859
00036,0.631836
-0024,0.632812
-0068,0.633789
00020,0.634766
00036,0.635742
00000,0.636719
00036,0.637695
00227,0.638672
00068,0.639648
00140,0.640625
00092,0.641602
00036,0.642578
-0012,0.643555
00000,0.644531
00012,0.645508
-0227,0.646484
00048,0.647461
-0028,0.648438
-0004,0.649414
-0044,0.650391
-0044,0.651367
-0008,0.652344
00044,0.653320
00203,0.654297
00036,0.655273
00028,0.656250
00128,0.657227
00028,0.658203
-0004,0.659180
00008,0.660156
00036,0.661133
00219,0.662109
00012,0.663086
00056,0.664062
-0004,0.665039
-0028,0.666016
00036,0.666992
-0020,0.667969
00068,0.668945
-0239,0.669922
-0012,0.670898
-0036,0.671875
00032,0.672852
-0036,0.673828
-0004,0.674805
-0020,0.675781
00004,0.676758
-0251,0.677734
-0012,0.678711
-0160,0.679688
00116,0.680664
-0028,0.681641
-0036,0.682617
00000,0.683594
-0036,0.684570
-0100,0.685547
00004,0.686523
-0136,0.687500
-0120,0.688477
-0036,0.689453
00016,0.690430
00008,0.691406
00016,0.692383
-0395,0.693359
-0004,0.694336
-0104,0.695312
-0004,0.696289
00036,0.697266
00012,0.698242
-0036,0.699219
00048,0.700195
-0060,0.701172
00016,0.702148
-0160,0.703125
-0120,0.704102
00028,0.705078
-0004,0.706055
00036,0.707031
-0012,0.708008
00203,0.708984
00052,0.709961
-0064,0.710938
-0132,0.711914
00052,0.712891
-0004,0.713867
00028,0.714844
00044,0.715820
00064,0.716797
00004,0.717773
-0048,0.718750
-0028,0.719727
00028,0.720703
00004,0.721680
-0008,0.722656
-0024,0.723633
-0096,0.724609
-0036,0.725586
-0032,0.726562
-0084,0.727539
-0036,0.728516
00004,0.729492
00000,0.730469
-0016,0.731445
-0084,0.732422
-0020,0.733398
-0048,0.734375
00028,0.735352
00028,0.736328
00024,0.737305
-0036,0.738281
-0016,0.739258
00092,0.740234
00044,0.741211
00092,0.742188
-0068,0.743164
00036,0.744141
00036,0.745117
00000,0.746094
00020,0.747070
-0239,0.748047
-0020,0.749023
00048,0.750000
-0104,0.750977
00020,0.751953
00004,0.752930
-0020,0.753906
00028,0.754883
-0064,0.755859
00004,0.756836
-0096,0.757812
00060,0.758789
-0036,0.759766
00036,0.760742
00036,0.761719
-0004,0.762695
-0076,0.763672
00004,0.764648
00076,0.765625
-0020,0.766602
-0036,0.767578
00016,0.768555
-0008,0.769531
-0028,0.770508
00052,0.771484
00004,0.772461
-0032,0.773438
-0104,0.774414
00004,0.775391
00056,0.776367
00000,0.777344
-0020,0.778320
00355,0.779297
00028,0.780273
-0004,0.781250
00048,0.782227
00004,0.783203
00012,0.784180
00000,0.785156
00036,0.786133
00203,0.787109
00016,0.788086
-0092,0.789062
00028,0.790039
00012,0.791016
-0004,0.791992
-0028,0.792969
-0024,0.793945
-0092,0.794922
-0016,0.795898
00032,0.796875
00096,0.797852
00016,0.798828
-0028,0.799805
00020,0.800781
00004,0.801758
-0076,0.802734
00012,0.803711
-0088,0.804688
-0052,0.805664
-0036,0.806641
-0024,0.807617
00000,0.808594
00044,0.809570
00036,0.810547
00016,0.811523
-0116,0.812500
-0020,0.813477
-0044,0.814453
-0004,0.815430
00008,0.816406
-0012,0.817383
00347,0.818359
-0016,0.819336
00012,0.820312
-0171,0.821289
00004,0.822266
-0028,0.823242
00000,0.824219
00004,0.825195
-0375,0.826172
-0048,0.827148
00032,0.828125
00004,0.829102
-0044,0.830078
-0016,0.831055
00028,0.832031
-0016,0.833008
-0108,0.833984
00016,0.834961
00036,0.835938
00024,0.836914
-0028,0.837891
00012,0.838867
00008,0.839844
00036,0.840820
-0060,0.841797
-0004,0.842773
00040,0.843750
00052,0.844727
-0016,0.845703
-0036,0.846680
00028,0.847656
00016,0.848633
00219,0.849609
-0036,0.850586
-0020,0.851562
-0060,0.852539
-0060,0.853516
00044,0.854492
-0036,0.855469
-0044,0.856445
00052,0.857422
-0052,0.858398
-0016,0.859375
-0096,0.860352
00016,0.861328
00020,0.862305
00008,0.863281
00028,0.864258
-0116,0.865234
00016,0.866211
00044,0.867188
-0156,0.868164
00016,0.869141
00016,0.870117
00028,0.871094
00004,0.872070
-0371,0.873047
-0020,0.874023
-0156,0.875000
00092,0.875977
-0004,0.876953
00024,0.877930
00036,0.878906
00048,0.879883
00060,0.880859
-0016,0.881836
00048,0.882812
00124,0.883789
00004,0.884766
00028,0.885742
-0020,0.886719
-0004,0.887695
00371,0.888672
00044,0.889648
-0032,0.890625
00020,0.891602
00068,0.892578
00004,0.893555
00008,0.894531
-0052,0.895508
-0076,0.896484
-0024,0.897461
-0120,0.898438
00040,0.899414
-0016,0.900391
00036,0.901367
00020,0.902344
-0028,0.903320
-0227,0.904297
-0012,0.905273
-0120,0.906250
00004,0.907227
00024,0.908203
00044,0.909180
00020,0.910156
00060,0.911133
-0243,0.912109
-0004,0.913086
00044,0.914062
00020,0.915039
-0020,0.916016
00020,0.916992
00020,0.917969
-0012,0.918945
-0092,0.919922
-0016,0.920898
-0084,0.921875
-0116,0.922852
00004,0.923828
-0048,0.924805
-0028,0.925781
-0036,0.926758
00052,0.927734
00060,0.928711
00048,0.929688
-0068,0.930664
00024,0.931641
00016,0.932617
00020,0.933594
00016,0.934570
00219,0.935547
00020,0.936523
00044,0.937500
-0076,0.938477
-0036,0.939453
00056,0.940430
00008,0.941406
-0004,0.942383
-0072,0.943359
-0016,0.944336
-0179,0.945312
00219,0.946289
00076,0.947266
00044,0.948242
00008,0.949219
00004,0.950195
00203,0.951172
00004,0.952148
00068,0.953125
00048,0.954102
-0024,0.955078
00012,0.956055
-0028,0.957031
00036,0.958008
00355,0.958984
-0036,0.959961
-0024,0.960938
-0060,0.961914
-0004,0.962891
00052,0.963867
-0052,0.964844
00028,0.965820
00355,0.966797
00044,0.967773
00000,0.968750
-0108,0.969727
-0068,0.970703
00056,0.971680
00060,0.972656
00004,0.973633
-0068,0.974609
-0004,0.975586
00140,0.976562
00004,0.977539
-0004,0.978516
00024,0.979492
-0020,0.980469
-0016,0.981445
-0239,0.982422
00004,0.983398
-0024,0.984375
00156,0.985352
-0028,0.986328
00020,0.987305
-0044,0.988281
00024,0.989258
-0092,0.990234
-0028,0.991211
-0144,0.992188
-0148,0.993164
00004,0.994141
-0036,0.995117
00020,0.996094
00024,0.997070
00052,0.998047
-0004,0.999023
00076,1.000000
00036,1.000977
-0052,1.001953
00004,1.002930
-0028,1.003906
00020,1.004883
-0211,1.005859
-0012,1.006836
-0072,1.007812
-0020,1.008789
-0036,1.009766
00044,1.010742
00000,1.011719
-0048,1.012695
00195,1.013672
00044,1.014648
-0080,1.015625
-0028,1.016602
-0016,1.017578
00012,1.018555
00008,1.019531
00004,1.020508
-0219,1.021484
-0048,1.022461
-0052,1.023438
-0004,1.024414
-0036,1.025391
00004,1.026367
-0036,1.027344
-0052,1.028320
00371,1.029297
